nro	fecha	tipo_operacion	sentido	referencia	origen_documento	cantidad_movimiento	delta_existencias	saldo_existencias_corrido	ubicacion_origen	ubicacion_destino	codigo_picking	motivo
96	2026-05-12 22:57:10	AJUSTE_INVENTARIO	SALIDA	Cantidad de producto actualizada (Paez Angel Esteban)		2206	-2206	-683	CEN/Existencias	Virtual Locations/Inventory adjustment		Ajuste de inventario (aplicado): resta unidades de Existencias (Cantidad de producto actualizada (Paez Angel Esteban)). En Odoo indica corrección respecto al saldo teórico previo, no necesariamente “dejar” esa cantidad en piso.
97	2026-05-13 13:18:00	PICK_EXPEDICION	SALIDA	CEN/PICK/04026	S04291	12	-12	-695	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04026). Origen: S04291.
98	2026-05-13 13:49:10	PICK_EXPEDICION	SALIDA	CEN/PICK/03975	S04347	12	-12	-707	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/03975). Origen: S04347.
99	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04096	S04387	12	-12	-719	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04096). Origen: S04387.
100	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04126	S04405	12	-12	-731	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04126). Origen: S04405.
101	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04135	S04423	12	-12	-743	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04135). Origen: S04423.
102	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04143	S04430	6	-6	-749	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04143). Origen: S04430.
103	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04155	S04448	12	-12	-761	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04155). Origen: S04448.
104	2026-05-14 21:20:18	PICK_EXPEDICION	SALIDA	CEN/PICK/04114	S04389	12	-12	-773	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04114). Origen: S04389.
105	2026-05-19 14:20:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04439	S04743	12	-12	-785	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04439). Origen: S04743.
106	2026-05-20 13:03:22	PICK_EXPEDICION	SALIDA	CEN/PICK/04585	S04853	12	-12	-797	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04585). Origen: S04853.
107	2026-05-20 13:20:22	PICK_EXPEDICION	SALIDA	CEN/PICK/04614	S04892	12	-12	-809	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04614). Origen: S04892.
108	2026-05-20 16:45:26	AJUSTE_INVENTARIO	ENTRADA	Cantidad de producto actualizada (Administrator)		2200	2200	1391	Virtual Locations/Inventory adjustment	CEN/Existencias		Ajuste de inventario (aplicado): suma unidades a Existencias (Cantidad de producto actualizada (Administrator)).
109	2026-05-20 21:43:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04431	S04671	12	-12	1379	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04431). Origen: S04671.
110	2026-05-20 21:43:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04392	S04680	12	-12	1367	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04392). Origen: S04680.
111	2026-05-20 21:43:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04578	S04837	12	-12	1355	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04578). Origen: S04837.
112	2026-05-20 21:43:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04584	S04848	6	-6	1349	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04584). Origen: S04848.
113	2026-05-20 21:43:07	PICK_EXPEDICION	SALIDA	CEN/PICK/04592	S04862	12	-12	1337	CEN/Existencias	CEN/Salida	internal	Picking de preparación: sale de Existencias hacia zona de Salida (CEN/PICK/04592). Origen: S04862.
